Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Flagler_RentalTestSuite,Firefox 56.0,,2017-12-01 12:28:13,2017-12-01 12:30:44,2m - 31.020s,FAILED
,,,,,,
Test Cases/Rental/Base_RentalContract/CreditCardRegression/TC003_RentalContractInvoice_CC,Firefox 56.0,,2017-12-01 12:28:14,2017-12-01 12:30:44,2m - 29.987s,FAILED
callTestCase,Firefox 56.0,,2017-12-01 12:28:16,2017-12-01 12:29:16,59.440s,FAILED
callTestCase,Firefox 56.0,Create a Rental Header using above Unit,2017-12-01 12:29:16,2017-12-01 12:30:38,1m - 21.812s,FAILED
callTestCase,Firefox 56.0,Create Rental Invoice using CC with diff Gateway,2017-12-01 12:30:38,2017-12-01 12:30:44,6.093s,FAILED
