Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Flagler_EquipmentTestSuite,Firefox 56.0,,2017-12-04 19:10:52,2017-12-04 19:13:39,2m - 47.364s,FAILED
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC001_EquipmentSalesAgreement_DiffGateway,Firefox 56.0,Objective: Equipment Credit Card Sales Invoicing with different gateways\n\nSteps:\n1. 'Book an Equipment Order with Mode of Payment - 'Credit Card'.\n2. Add a configuration \n3. Confirm the delivery.\n4. Invoice the Order with Credit card\n\nExpected:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.,2017-12-04 19:10:52,2017-12-04 19:13:39,2m - 46.624s,FAILED
callTestCase,Firefox 56.0,Create a Unit For Sale through Purchase Order,2017-12-04 19:10:53,2017-12-04 19:12:46,1m - 52.949s,PASSED
callTestCase,Firefox 56.0,Create Equipment Agreement Header\r\n,2017-12-04 19:12:46,2017-12-04 19:13:23,36.823s,PASSED
callTestCase,Firefox 56.0,Add Line to Agreement,2017-12-04 19:13:23,2017-12-04 19:13:39,16.056s,FAILED
