Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Flagler_EquipmentTestSuite,Firefox 43.0,,2017-11-30 16:13:30,2017-11-30 16:15:53,2m - 23.175s,INCOMPLETE
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC001_EquipmentSalesAgreement_DiffGateway,Firefox 43.0,Objective: Equipment Credit Card Sales Invoicing with different gateways\n\nSteps:\n1. 'Book an Equipment Order with Mode of Payment - 'Credit Card'.\n2. Add a configuration \n3. Confirm the delivery.\n4. Invoice the Order with Credit card\n\nExpected:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.,2017-11-30 16:13:30,2017-11-30 16:15:53,2m - 22.618s,INCOMPLETE
callTestCase,Firefox 43.0,Create a Unit For Sale through Purchase Order,2017-11-30 16:13:31,2017-11-30 16:13:31,0.005s,NOT_RUN
callTestCase,Firefox 43.0,Create Equipment Agreement Header\r\n,2017-11-30 16:13:31,2017-11-30 16:14:36,1m - 5.275s,PASSED
callTestCase,Firefox 43.0,Add Line to Agreement,2017-11-30 16:14:36,2017-11-30 16:14:54,17.315s,PASSED
callTestCase,Firefox 43.0,Deliver the Unit,2017-11-30 16:14:54,2017-11-30 16:15:53,59.069s,INCOMPLETE
