Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Flagler_EquipmentTestSuite,Firefox 43.0,,2017-11-30 19:11:12,2017-11-30 19:15:29,4m - 16.107s,INCOMPLETE
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC001_EquipmentSalesAgreement_DiffGateway,Firefox 43.0,Objective: Equipment Credit Card Sales Invoicing with different gateways\n\nSteps:\n1. 'Book an Equipment Order with Mode of Payment - 'Credit Card'.\n2. Add a configuration \n3. Confirm the delivery.\n4. Invoice the Order with Credit card\n\nExpected:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.,2017-11-30 19:11:13,2017-11-30 19:15:29,4m - 15.679s,INCOMPLETE
callTestCase,Firefox 43.0,Create a Unit For Sale through Purchase Order,2017-11-30 19:11:14,2017-11-30 19:13:03,1m - 48.787s,PASSED
callTestCase,Firefox 43.0,Create Equipment Agreement Header\r\n,2017-11-30 19:13:03,2017-11-30 19:13:50,47.644s,PASSED
callTestCase,Firefox 43.0,Add Line to Agreement,2017-11-30 19:13:50,2017-11-30 19:14:08,17.644s,PASSED
callTestCase,Firefox 43.0,Deliver the Unit,2017-11-30 19:14:08,2017-11-30 19:15:08,1m - 0.534s,PASSED
callTestCase,Firefox 43.0,Invoice the Agreement through CC Interface,2017-11-30 19:15:08,2017-11-30 19:15:29,20.134s,INCOMPLETE
