Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Flagler_RentalTestSuite,Firefox 56.0,,2017-12-06 18:11:44,2017-12-06 18:16:59,5m - 15.484s,INCOMPLETE
,,,,,,
Test Cases/Rental/Base_RentalContract/CreditCardRegression/TC003_RentalContractInvoice_CC,Firefox 56.0,,2017-12-06 18:11:44,2017-12-06 18:16:59,5m - 15.055s,INCOMPLETE
callTestCase,Firefox 56.0,,2017-12-06 18:11:45,2017-12-06 18:13:45,2m - 0.575s,PASSED
callTestCase,Firefox 56.0,Create a Rental Header using above Unit,2017-12-06 18:13:45,2017-12-06 18:15:49,2m - 3.063s,PASSED
callTestCase,Firefox 56.0,Create Rental Invoice using CC with diff Gateway,2017-12-06 18:15:49,2017-12-06 18:16:59,1m - 10.664s,INCOMPLETE
