Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Flagler_ServiceInvoice_SplitTenderTestSuite,Firefox 56.0,,2017-12-05 11:08:23,2017-12-05 11:13:04,4m - 41.175s,FAILED
,,,,,,
Test Cases/Service/CreditCardRegression/TC002_Service_CreditCardSplitTender,Firefox 56.0,,2017-12-05 11:08:24,2017-12-05 11:13:04,4m - 40.120s,FAILED
callTestCase,Firefox 56.0,,2017-12-05 11:08:24,2017-12-05 11:09:37,1m - 12.681s,PASSED
callTestCase,Firefox 56.0,,2017-12-05 11:09:37,2017-12-05 11:10:16,38.635s,PASSED
callTestCase,Firefox 56.0,Service Order>Add Others line,2017-12-05 11:10:16,2017-12-05 11:10:52,36.012s,PASSED
callTestCase,Firefox 56.0,,2017-12-05 11:10:52,2017-12-05 11:12:33,1m - 40.743s,FAILED
callTestCase,Firefox 56.0,Service Order>Read Header Invoice details ie InvoiceNo and InvAmt SSI 100006679,2017-12-05 11:12:33,2017-12-05 11:12:36,3.825s,FAILED
callTestCase,Firefox 56.0,Checked Open Entries for CC BP and Invoice BP,2017-12-05 11:12:36,2017-12-05 11:13:04,27.342s,FAILED
