Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Flagler_EquipmentTestSuite,Firefox 43.0,,2017-11-30 17:54:32,2017-11-30 17:59:35,5m - 3.366s,FAILED
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC001_EquipmentSalesAgreement_DiffGateway,Firefox 43.0,Objective: Equipment Credit Card Sales Invoicing with different gateways\n\nSteps:\n1. 'Book an Equipment Order with Mode of Payment - 'Credit Card'.\n2. Add a configuration \n3. Confirm the delivery.\n4. Invoice the Order with Credit card\n\nExpected:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.,2017-11-30 17:54:33,2017-11-30 17:59:34,5m - 1.017s,FAILED
callTestCase,Firefox 43.0,Create a Unit For Sale through Purchase Order,2017-11-30 17:54:34,2017-11-30 17:56:32,1m - 57.809s,PASSED
callTestCase,Firefox 43.0,Create Equipment Agreement Header\r\n,2017-11-30 17:56:32,2017-11-30 17:57:17,45.782s,PASSED
callTestCase,Firefox 43.0,Add Line to Agreement,2017-11-30 17:57:17,2017-11-30 17:57:35,17.337s,PASSED
callTestCase,Firefox 43.0,Deliver the Unit,2017-11-30 17:57:35,2017-11-30 17:59:34,1m - 58.846s,FAILED
