Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Flagler_EquipmentTestSuite,Firefox 43.0,,2017-12-01 10:50:03,2017-12-01 10:54:52,4m - 48.810s,FAILED
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC001_EquipmentSalesAgreement_DiffGateway,Firefox 43.0,Objective: Equipment Credit Card Sales Invoicing with different gateways\n\nSteps:\n1. 'Book an Equipment Order with Mode of Payment - 'Credit Card'.\n2. Add a configuration \n3. Confirm the delivery.\n4. Invoice the Order with Credit card\n\nExpected:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.,2017-12-01 10:50:04,2017-12-01 10:54:50,4m - 45.932s,FAILED
callTestCase,Firefox 43.0,Create a Unit For Sale through Purchase Order,2017-12-01 10:50:05,2017-12-01 10:52:20,2m - 14.699s,PASSED
callTestCase,Firefox 43.0,Create Equipment Agreement Header\r\n,2017-12-01 10:52:20,2017-12-01 10:53:04,43.934s,PASSED
callTestCase,Firefox 43.0,Add Line to Agreement,2017-12-01 10:53:04,2017-12-01 10:53:21,16.992s,PASSED
callTestCase,Firefox 43.0,Deliver the Unit,2017-12-01 10:53:21,2017-12-01 10:54:50,1m - 29.126s,FAILED
