Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Flagler_EquipmentTestSuite,Firefox 43.0,,2017-11-30 18:57:58,2017-11-30 19:06:04,8m - 6.702s,INCOMPLETE
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC001_EquipmentSalesAgreement_DiffGateway,Firefox 43.0,Objective: Equipment Credit Card Sales Invoicing with different gateways\n\nSteps:\n1. 'Book an Equipment Order with Mode of Payment - 'Credit Card'.\n2. Add a configuration \n3. Confirm the delivery.\n4. Invoice the Order with Credit card\n\nExpected:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.,2017-11-30 18:57:58,2017-11-30 19:06:04,8m - 6.231s,INCOMPLETE
callTestCase,Firefox 43.0,Create a Unit For Sale through Purchase Order,2017-11-30 18:57:59,2017-11-30 19:00:10,2m - 11.052s,PASSED
callTestCase,Firefox 43.0,Create Equipment Agreement Header\r\n,2017-11-30 19:00:10,2017-11-30 19:01:07,56.815s,PASSED
callTestCase,Firefox 43.0,Add Line to Agreement,2017-11-30 19:01:07,2017-11-30 19:01:24,16.724s,PASSED
callTestCase,Firefox 43.0,Deliver the Unit,2017-11-30 19:01:24,2017-11-30 19:02:25,1m - 1.267s,PASSED
callTestCase,Firefox 43.0,Invoice the Agreement through CC Interface,2017-11-30 19:02:25,2017-11-30 19:06:04,3m - 39.313s,INCOMPLETE
