Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Flagler_EquipmentTestSuite,Firefox 43.0,,2017-11-30 17:31:59,2017-11-30 17:36:24,4m - 25.250s,INCOMPLETE
,,,,,,
Test Cases/Equipment/CreditCardRegression/TC001_EquipmentSalesAgreement_DiffGateway,Firefox 43.0,Objective: Equipment Credit Card Sales Invoicing with different gateways\n\nSteps:\n1. 'Book an Equipment Order with Mode of Payment - 'Credit Card'.\n2. Add a configuration \n3. Confirm the delivery.\n4. Invoice the Order with Credit card\n\nExpected:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.,2017-11-30 17:31:59,2017-11-30 17:36:24,4m - 24.837s,INCOMPLETE
callTestCase,Firefox 43.0,Create a Unit For Sale through Purchase Order,2017-11-30 17:32:00,2017-11-30 17:34:04,2m - 3.656s,PASSED
callTestCase,Firefox 43.0,Create Equipment Agreement Header\r\n,2017-11-30 17:34:04,2017-11-30 17:34:51,47.183s,PASSED
callTestCase,Firefox 43.0,Add Line to Agreement,2017-11-30 17:34:51,2017-11-30 17:35:08,17.055s,PASSED
callTestCase,Firefox 43.0,Deliver the Unit,2017-11-30 17:35:08,2017-11-30 17:36:09,1m - 0.927s,PASSED
callTestCase,Firefox 43.0,Invoice the Agreement through CC Interface,2017-11-30 17:36:09,2017-11-30 17:36:24,15.094s,INCOMPLETE
