Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Flagler_PartsTestSuite,Firefox 43.0,,2017-11-28 18:01:15,2017-11-28 18:03:45,2m - 30.322s,FAILED
,,,,,,
Test Cases/Parts/CreditCardRegression/TC001_Parts_CreditCard,Firefox 43.0,"Test Case Objective: To verify credit card invoices with different gateways for parts module.\n\nPrerequisite:\nCredit Card Payment Gateway related setup should be done in the test company for all three Payment Gateways - FreedomPay, GlobalOnePay and JDF.In the 'Payment Gateway Details' (xiext6100m000) session, Business Parameter field should contain B. P. code.\n\nSteps:\n1. 'Create a Parts Sales Order with Mode of Payment - 'Credit Card'.\n2. Add Parts lines.\n3. Pick, Pack and Invoice the Order.\n4. Enter Credit Card details from data file with different Gateways\n5. Click 'Process' in the Credit Card Interface session.\n6. Verify the invoices in 'Open Entries'\n\nExpected Output:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.\n\nInputs Needed:\n1. BP\n2. Part\n4. Qty\n3. CC Gateway\n4. Card type\n5. CC no. \n6. CVV\n",2017-11-28 18:01:16,2017-11-28 18:03:39,2m - 23.365s,FAILED
callTestCase,Firefox 43.0,Create header with Credit Card\r\n,2017-11-28 18:01:17,2017-11-28 18:02:15,58.917s,PASSED
callTestCase,Firefox 43.0,Add a part line\r\n,2017-11-28 18:02:15,2017-11-28 18:02:42,26.438s,PASSED
callTestCase,Firefox 43.0,"Ship line, Invoice the Order using Credit card\r\n",2017-11-28 18:02:42,2017-11-28 18:03:39,57.075s,FAILED
