Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Flagler_RentalTestSuite,Firefox 56.0,,2017-12-06 17:23:09,2017-12-06 17:28:39,5m - 30.100s,INCOMPLETE
,,,,,,
Test Cases/Rental/Base_RentalContract/CreditCardRegression/TC003_RentalContractInvoice_CC,Firefox 56.0,,2017-12-06 17:23:09,2017-12-06 17:28:39,5m - 29.668s,INCOMPLETE
callTestCase,Firefox 56.0,,2017-12-06 17:23:10,2017-12-06 17:25:03,1m - 53.436s,PASSED
callTestCase,Firefox 56.0,Create a Rental Header using above Unit,2017-12-06 17:25:03,2017-12-06 17:27:02,1m - 58.875s,PASSED
callTestCase,Firefox 56.0,Create Rental Invoice using CC with diff Gateway,2017-12-06 17:27:02,2017-12-06 17:28:39,1m - 36.581s,INCOMPLETE
